2025-04-09 09:33:02.495; neo.spider.solution.E2E; 1744158782494; 134f3786-3c23-4d6e-a19b-eab5918c701c; http://localhost:9090/batch/logtodb/1/GET; user-8a4cb5ea; 0:0:0:0:0:0:0:1; Desktop; USER; http://localhost:9090/batch/logtodb/1/GET; ; ; ; ;  
2025-04-09 09:33:02.535; neo.spider.solution.E2E; 1744158782534; 134f3786-3c23-4d6e-a19b-eab5918c701c; http://localhost:9090/batch/logtodb/1/GET; user-8a4cb5ea; 0:0:0:0:0:0:0:1; Desktop; http://localhost:9090/batch/logtodb/1/GET; BatchController.logToDbTest; ; ; ; ;  
2025-04-09 09:33:04.318; neo.spider.solution.E2E; 1744158784318; 134f3786-3c23-4d6e-a19b-eab5918c701c; http://localhost:9090/batch/logtodb/1/GET; user-8a4cb5ea; 0:0:0:0:0:0:0:1; Desktop; BatchController.logToDbTest; http://localhost:9090/batch/logtodb/1/GET; 1784; ; ; ;  
2025-04-09 09:33:04.334; neo.spider.solution.E2E; 1744158784334; 134f3786-3c23-4d6e-a19b-eab5918c701c; http://localhost:9090/batch/logtodb/1/GET; user-8a4cb5ea; 0:0:0:0:0:0:0:1; Desktop; http://localhost:9090/batch/logtodb/1/GET; USER; 1840; ; ; ;  
2025-04-09 09:33:22.069; neo.spider.solution.E2E; 1744158802069; 6de2ae4a-45d2-4ba2-a394-00362da9c401; http://localhost:9090/item/GET; user-bfe9d1a3; 0:0:0:0:0:0:0:1; Desktop; USER; http://localhost:9090/item/GET; ; ; ; ;  
2025-04-09 09:33:22.073; neo.spider.solution.E2E; 1744158802073; 6de2ae4a-45d2-4ba2-a394-00362da9c401; http://localhost:9090/item/GET; user-bfe9d1a3; 0:0:0:0:0:0:0:1; Desktop; http://localhost:9090/item/GET; TestController.getItem; ; ; ; ;  
2025-04-09 09:33:22.073; neo.spider.solution.E2E; 1744158802073; 6de2ae4a-45d2-4ba2-a394-00362da9c401; http://localhost:9090/item/GET; user-bfe9d1a3; 0:0:0:0:0:0:0:1; Desktop; TestController.getItem; TestService.getItemById; ; ; ; ;  
2025-04-09 09:33:22.098; neo.spider.solution.E2E; 1744158802098; 6de2ae4a-45d2-4ba2-a394-00362da9c401; http://localhost:9090/item/GET; user-bfe9d1a3; 0:0:0:0:0:0:0:1; Desktop; TestService.getItemById; TestService.getItemById; 9; ; ; DataBase Access Delayed!!!!; SELECT * FROM item WHERE id = ? 
2025-04-09 09:33:22.098; neo.spider.solution.E2E; 1744158802098; 6de2ae4a-45d2-4ba2-a394-00362da9c401; http://localhost:9090/item/GET; user-bfe9d1a3; 0:0:0:0:0:0:0:1; Desktop; TestService.getItemById; TestController.getItem; 25; ; ; ;  
2025-04-09 09:33:22.098; neo.spider.solution.E2E; 1744158802098; 6de2ae4a-45d2-4ba2-a394-00362da9c401; http://localhost:9090/item/GET; user-bfe9d1a3; 0:0:0:0:0:0:0:1; Desktop; TestController.getItem; http://localhost:9090/item/GET; 25; ; ; ;  
2025-04-09 09:33:22.125; neo.spider.solution.E2E; 1744158802125; 6de2ae4a-45d2-4ba2-a394-00362da9c401; http://localhost:9090/item/GET; user-bfe9d1a3; 0:0:0:0:0:0:0:1; Desktop; http://localhost:9090/item/GET; USER; 56; ; ; ;  
